user_name,user_location,user_description,user_created,user_followers,user_friends,user_favorities,user_verified,date,text,hashtag,source,is_retweet
K!LLA CAM 🌺,Valley of the Sun,I will break out of every box you put me in 🗽 Apostate to the Left 🥀 Critic of the Empire 🕊,Thu Nov 26 03:27:59 +0000 2015,2148,947,134462,False,Fri Nov 20 15:15:28 +0000 2020,"RT @mtracey: And it wasn't just Maddow. That's a cop-out. It was the vast majority of the US media apparatus, from the NYT to online ""progr…",[],Twitter for iPhone,False
Kathaleen Wahl,,"Mother, grandma, life-long progressive, smiling misanthrope.",Tue Dec 27 03:33:11 +0000 2016,1864,1867,317592,False,Fri Nov 20 15:15:34 +0000 2020,"RT @TheUSASingers: The 1st executive order Joe Biden should enact is to have Trump, Pence, Barr, Mnuchin, Rudy, Stephen Miller, Peter Navar…",[],Twitter for Android,False
